name,ring,quadrant,isNew,description
Consul,ADOPT,Инфраструктура,ЛОЖЬ,
EasyCertClient,ADOPT,Инфраструктура,ЛОЖЬ,
Echelon,ADOPT,Инфраструктура,ЛОЖЬ,
ElasticSearch,ASSESS,Инфраструктура,ЛОЖЬ,
Grafana,ADOPT,Инфраструктура,ЛОЖЬ,
KE Forms,ADOPT,Инфраструктура,ЛОЖЬ,
KE.Api,HOLD,Инфраструктура,ЛОЖЬ,
Kibana,ADOPT,Инфраструктура,ЛОЖЬ,
Kontur Drive,ADOPT,Инфраструктура,ЛОЖЬ,
Krec,ADOPT,Инфраструктура,ЛОЖЬ,
LocalPortal,ADOPT,Инфраструктура,ЛОЖЬ,
Moira,ADOPT,Инфраструктура,ЛОЖЬ,
MongoDB,ADOPT,Инфраструктура,ЛОЖЬ,
Nexus,ADOPT,Инфраструктура,ЛОЖЬ,
nginx,ADOPT,Инфраструктура,ЛОЖЬ,
OpenId,ADOPT,Инфраструктура,ЛОЖЬ,
OpenIdLocal,ADOPT,Инфраструктура,ЛОЖЬ,
Pandora,ADOPT,Инфраструктура,ЛОЖЬ,
Redash,ADOPT,Инфраструктура,ЛОЖЬ,
Redis,ADOPT,Инфраструктура,ЛОЖЬ,
Sapsan,ASSESS,Инфраструктура,ЛОЖЬ,
Selenium Grid,ADOPT,Инфраструктура,ЛОЖЬ,
Sentinel,ADOPT,Инфраструктура,ЛОЖЬ,
Sentry,ADOPT,Инфраструктура,ЛОЖЬ,
Slack,TRIAL,Инфраструктура,ЛОЖЬ,
Spam.Api,ADOPT,Инфраструктура,ЛОЖЬ,
TeamCity,TRIAL,Инфраструктура,ЛОЖЬ,
Upsource,ADOPT,Инфраструктура,ЛОЖЬ,
Vault,ADOPT,Инфраструктура,ЛОЖЬ,
YouTrack,ADOPT,Инфраструктура,ЛОЖЬ,
axios,ADOPT,"Фронтенд: языки, фреймворки, ключевые библиотеки",ЛОЖЬ,
css-modules,ADOPT,"Фронтенд: языки, фреймворки, ключевые библиотеки",ЛОЖЬ,
jQuery,HOLD,"Фронтенд: языки, фреймворки, ключевые библиотеки",ЛОЖЬ,
less,HOLD,"Фронтенд: языки, фреймворки, ключевые библиотеки",ЛОЖЬ,
React,ADOPT,"Фронтенд: языки, фреймворки, ключевые библиотеки",ЛОЖЬ,
redux,HOLD,"Фронтенд: языки, фреймворки, ключевые библиотеки",ЛОЖЬ,
styled-components,ASSESS,"Фронтенд: языки, фреймворки, ключевые библиотеки",ЛОЖЬ,
TypeScript,ADOPT,"Фронтенд: языки, фреймворки, ключевые библиотеки",ЛОЖЬ,
.NET Core,ASSESS,Бэкенд: языки и фреймворки,ЛОЖЬ,
ASP.NET WebApi,ADOPT,Бэкенд: языки и фреймворки,ЛОЖЬ,
C#,ADOPT,Бэкенд: языки и фреймворки,ЛОЖЬ,
Ansible,ADOPT,Инструменты разработки,ЛОЖЬ,
ApprovalTests,ADOPT,Инструменты разработки,ЛОЖЬ,
create-react-app,ADOPT,Инструменты разработки,ЛОЖЬ,
creevey,ADOPT,Инструменты разработки,ЛОЖЬ,
eslint,ADOPT,Инструменты разработки,ЛОЖЬ,
Google.Apis.Gmail.v1,ADOPT,Инструменты разработки,ЛОЖЬ,
jest,ADOPT,Инструменты разработки,ЛОЖЬ,
lernajs,ADOPT,Инструменты разработки,ЛОЖЬ,
NSubstitute,TRIAL,Инструменты разработки,ЛОЖЬ,
NuGet,ADOPT,Инструменты разработки,ЛОЖЬ,
NUnit,ADOPT,Инструменты разработки,ЛОЖЬ,
ReactUI.SeleniumTesting,ADOPT,Инструменты разработки,ЛОЖЬ,
Selone,ADOPT,Инструменты разработки,ЛОЖЬ,
storybook,ADOPT,Инструменты разработки,ЛОЖЬ,
TypeScript.ContractGenerator,ADOPT,Инструменты разработки,ЛОЖЬ,
Vostok Libs,ADOPT,Инструменты разработки,ЛОЖЬ,
yarn,HOLD,Инструменты разработки,ЛОЖЬ,